100	9.84	0.16	0.016260163
150	9.84	0.26	0.026422764
200	9.84	0.4	0.040650407
250	9.84	0.58	0.058943089
300	9.84	0.73	0.074186992
350	9.84	0.99	0.100609756
400	9.84	1.28	0.130081301
450	9.84	1.6	0.162601626
500	9.84	1.94	0.197154472
600	9.84	2.74	0.278455285
700	9.84	3.64	0.369918699
800	9.84	4.6	0.467479675
900	9.84	5.64	0.573170732
1000	9.84	6.64	0.674796748
1100	9.84	7.6	0.772357724
1200	9.84	8.48	0.861788618
1300	9.84	9.36	0.951219512
1400	9.84	10.2	1.036585366
1500	9.84	10.8	1.097560976
1600	9.84	11.4	1.158536585
1700	9.84	11.8	1.199186992
1800	9.84	12.2	1.239837398
1900	9.84	12.6	1.280487805
2000	9.84	12.9	1.31097561
2500	9.84	13.8	1.402439024
3000	9.84	14.2	1.443089431
3500	9.84	14.5	1.473577236
4000	9.84	14.6	1.483739837
5000	9.84	14.6	1.483739837
6000	9.84	14.8	1.504065041
7000	9.84	14.8	1.504065041
8000	9.84	14.8	1.504065041
9000	9.84	14.8	1.504065041
10000	9.84	14.8	1.504065041